timestamp,price,last4ccnum,name,geometry
2014-01-06 07:28:00,11.34,4795,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
2014-01-06 07:34:00,52.22,7108,Hallowed Grounds,"POLYGON ((24.882 36.0625, 24.89 36.0625, 24.89 36.067, 24.882 36.067, 24.882 36.0625))"
2014-01-06 07:35:00,8.33,6816,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
2014-01-06 07:36:00,16.72,9617,Hallowed Grounds,"POLYGON ((24.882 36.0625, 24.89 36.0625, 24.89 36.067, 24.882 36.067, 24.882 36.0625))"
2014-01-06 07:37:00,4.24,7384,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
2014-01-06 07:38:00,4.17,5368,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
2014-01-06 07:43:00,9.6,4948,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
2014-01-06 07:43:00,16.9,9683,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
2014-01-06 07:47:00,16.53,8129,Hallowed Grounds,"POLYGON ((24.882 36.0625, 24.89 36.0625, 24.89 36.067, 24.882 36.067, 24.882 36.0625))"
2014-01-06 07:48:00,10.66,3492,Hallowed Grounds,"POLYGON ((24.882 36.0625, 24.89 36.0625, 24.89 36.067, 24.882 36.067, 24.882 36.0625))"
2014-01-06 07:52:00,32.83,9405,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
2014-01-06 07:54:00,16.88,7889,Hallowed Grounds,"POLYGON ((24.882 36.0625, 24.89 36.0625, 24.89 36.067, 24.882 36.067, 24.882 36.0625))"
2014-01-06 07:54:00,32.93,2681,Hallowed Grounds,"POLYGON ((24.882 36.0625, 24.89 36.0625, 24.89 36.067, 24.882 36.067, 24.882 36.0625))"
2014-01-06 07:55:00,8.05,9551,Hallowed Grounds,"POLYGON ((24.882 36.0625, 24.89 36.0625, 24.89 36.067, 24.882 36.067, 24.882 36.0625))"
2014-01-06 07:55:00,3.67,3484,Brew've Been Served,"POLYGON ((24.903 36.05575, 24.907 36.05575, 24.907 36.05875, 24.903 36.05875, 24.903 36.05575))"
